row,institution,country,size,focus,research,status,age,score_14,score_13,score_12,rank_14,rank_13,rank_12
1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),US,M,CO,VH,B,5,100,100,100,1,1,1
2,IMPERIAL COLLEGE LONDON,UK,L,FC,VH,A,5,99.4,,,2,,
3,UNIVERSITY OF CAMBRIDGE,UK,L,FC,VH,A,5,99.4,,,2,,
4,HARVARD UNIVERSITY,US,L,FC,VH,B,5,99.3,99.2,99.15,3,2,2
5,UCL (UNIVERSITY COLLEGE LONDON),UK,L,FC,VH,A,5,99.2,,,4,,
6,UNIVERSITY OF OXFORD,UK,L,FC,VH,A,5,99.2,,,4,,
7,STANFORD UNIVERSITY,US,L,FC,VH,A,5,98.3,96.8,91.68,5,3,9
8,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),US,S,CO,VH,B,5,97.1,96.1,95.05,6,5,5
9,PRINCETON UNIVERSITY,US,M,CO,VH,B,5,96.6,96.1,95.37,7,5,4
10,YALE UNIVERSITY,US,L,FC,VH,B,5,96.5,,,8,,
11,UNIVERSITY OF CHICAGO,US,L,FC,VH,B,5,95.5,96.2,96.27,9,4,3
12,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),CH,L,CO,VH,A,5,95.3,,,10,,
13,UNIVERSITY OF PENNSYLVANIA,US,L,FC,VH,B,5,94.5,93.8,94.5,11,6,7
14,COLUMBIA UNIVERSITY,US,L,FC,VH,B,5,94.1,93.6,94.68,12,7,6
15,JOHNS HOPKINS UNIVERSITY,US,L,FC,VH,B,5,94.1,92.1,91.18,12,9,10
16,KING'S COLLEGE LONDON (KCL),UK,L,FC,VH,A,5,92.9,,,13,,
17,ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),CH,M,FO,VH,A,5,92.8,90.9,85.08,14,11,20
18,UNIVERSITY OF EDINBURGH,UK,L,FC,VH,A,5,92.8,,,14,,
19,CORNELL UNIVERSITY,US,L,FC,VH,B,5,92.6,92.5,92.08,15,8,8
20,UNIVERSITY OF TORONTO,CA,XL,FC,VH,A,5,92.4,91.3,89.64,16,10,13
21,MCGILL UNIVERSITY,CA,L,FC,VH,A,5,91.5,90.6,90.43,17,12,12
22,NATIONAL UNIVERSITY OF SINGAPORE (NUS),SG,XL,FC,VH,A,5,91.1,89.4,87.24,18,15,18
23,UNIVERSITY OF MICHIGAN,US,XL,FC,VH,A,5,90.3,90.5,91.17,19,13,11
24,ECOLE NORMALE SUPÉRIEURE PARIS (ENS PARIS),FR,S,SP,VH,B,5,90.2,87.8,,20,19,
25,AUSTRALIAN NATIONAL UNIVERSITY (ANU),AU,L,CO,VH,A,4,89.7,88.5,87.61,21,18,17
26,DUKE UNIVERSITY,US,L,FC,VH,B,5,89.6,90.1,89.5,22,14,14
27,UNIVERSITY OF CALIFORNIA BERKELEY (UCB),US,XL,FC,VH,A,5,89.5,89,88.12,23,16,15
28,UNIVERSITY OF HONG KONG (HKU),HK,L,FC,VH,A,5,88.8,88.6,87.89,24,17,16
29,UNIVERSITY OF BRISTOL,UK,L,FC,VH,A,5,88.5,,,25,,
30,THE UNIVERSITY OF MANCHESTER,UK,XL,FC,VH,A,5,86.9,,,26,,
31,SEOUL NATIONAL UNIVERSITY (SNU),KR,L,FC,VH,A,4,86.7,84.1,82.19,27,24,26
32,THE UNIVERSITY OF TOKYO,JP,L,FC,VH,A,5,86.7,85.7,84.95,27,22,21
33,THE UNIVERSITY OF MELBOURNE,AU,XL,FC,VH,A,5,86.5,86,83.16,28,21,25
34,NORTHWESTERN UNIVERSITY,US,L,FC,VH,B,5,86,87.3,85.44,29,20,19
35,ECOLE POLYTECHNIQUE PARISTECH,FR,S,CO,VH,A,5,85,81.1,79.55,30,29,30
36,KYOTO UNIVERSITY,JP,L,FC,VH,A,5,84.7,84.1,83.27,31,24,24
37,THE UNIVERSITY OF SYDNEY,AU,XL,FC,VH,A,5,84.3,82.9,81.31,32,26,28
38,UNIVERSITY OF CALIFORNIA LOS ANGELES (UCLA),US,XL,FC,VH,A,4,84.3,81.9,84.62,32,28,22
39,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),SG,L,CO,VH,A,2,84,81.1,77.69,33,29,35
40,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),HK,M,CO,VH,A,2,83.3,84.4,83.48,34,23,23
41,NEW YORK UNIVERSITY (NYU),US,XL,FC,VH,B,5,82.5,80.8,78.94,35,31,32
42,UNIVERSITY OF WISCONSIN-MADISON,US,XL,FC,VH,A,5,82.5,83,81.43,35,25,27
43,THE UNIVERSITY OF QUEENSLAND (UQ),AU,XL,FC,VH,A,5,82.4,80.9,78.22,36,30,34
44,UNIVERSITY OF BRITISH COLUMBIA,CA,XL,FC,VH,A,5,82.3,79.4,78.55,37,35,33
45,UNIVERSITY OF COPENHAGEN,DK,L,FC,VH,A,5,82,80.5,76.66,38,32,38
46,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),HK,L,FC,VH,A,4,81.9,82.3,80.09,39,27,29
47,TSINGHUA UNIVERSITY,CN,XL,FC,VH,A,5,81.3,79.7,77.51,40,34,36
48,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),AU,XL,FC,VH,A,4,81.2,78.8,76.63,41,37,39
49,RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG,DE,XL,FC,VH,A,5,81.1,79.3,,42,36,
50,UNIVERSITY OF AMSTERDAM,NL,L,FC,VH,A,5,80.5,,,43,,
51,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KR,M,CO,VH,A,3,79.9,75.8,71.77,44,43,45
52,BROWN UNIVERSITY,US,M,FC,VH,B,5,79.8,79.8,79.52,45,33,31
53,LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN,DE,XL,FC,VH,A,5,79.8,74.4,72.85,45,46,43
54,TECHNISCHE UNIVERSITÄT MÜNCHEN,DE,XL,CO,VH,A,5,79.7,78.5,,46,38,
55,OSAKA UNIVERSITY,JP,L,FC,VH,A,4,79.6,76.9,76.84,47,40,37
56,UNIVERSITY OF GLASGOW,UK,L,FC,VH,A,5,79.6,,,47,,
57,PEKING UNIVERSITY,CN,XL,FC,VH,A,5,78.8,,,48,,
58,UNIVERSITY OF ZURICH,CH,L,FC,VH,A,5,78.8,72.9,68.32,48,54,63
59,UNIVERSITY OF CALIFORNIA SAN DIEGO (UCSD),US,L,FC,VH,A,4,78.6,74.8,70.93,49,45,49
60,LUND UNIVERSITY,SE,L,FC,VH,A,5,78.3,74,70.87,50,48,50
61,THE UNIVERSITY OF WARWICK,UK,L,FC,VH,A,4,78.1,,,51,,
62,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,US,L,FC,VH,A,5,77.5,77,75.36,52,39,41
63,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,US,XL,FC,VH,A,5,76.9,76.7,75.47,53,41,40
64,UNIVERSITY OF BIRMINGHAM,UK,L,FC,VH,A,5,76.7,,,54,,
65,CARNEGIE MELLON UNIVERSITY,US,L,FC,VH,B,5,76.5,,,55,,
66,UNIVERSITY OF WASHINGTON,US,XL,FC,VH,A,5,76.5,76.2,73.7,55,42,42
67,UNIVERSITY OF HELSINKI,FI,L,CO,VH,A,5,76.4,73.7,70.07,56,49,53
68,TOKYO INSTITUTE OF TECHNOLOGY,JP,M,CO,VH,A,5,76.3,74.2,71.35,57,47,47
69,THE UNIVERSITY OF SHEFFIELD,UK,L,FC,VH,A,5,75.7,,,58,,
70,MONASH UNIVERSITY,AU,XL,FC,VH,A,4,75.5,73.7,72.16,59,49,44
71,FUDAN UNIVERSITY,CN,L,FC,VH,A,5,75.3,70.8,68.32,60,60,63
72,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),UK,M,SP,VH,A,5,75.3,,,60,,
73,TOHOKU UNIVERSITY,JP,L,FC,VH,A,5,75.3,73.1,70.5,60,52,52
74,TRINITY COLLEGE DUBLIN (TCD),IE,L,FC,VH,A,5,75.3,75.1,,60,44,
75,LEIDEN UNIVERSITY,NL,L,FC,VH,A,5,75.2,73.2,70.5,61,51,52
76,NATIONAL TAIWAN UNIVERSITY (NTU),TW,XL,FC,VH,A,4,75.1,72,69.92,62,56,55
77,THE UNIVERSITY OF NOTTINGHAM,UK,XL,FC,VH,A,5,74.9,,,63,,
78,BOSTON UNIVERSITY,US,L,FC,VH,B,5,74.8,72.5,71.66,64,55,46
79,UNIVERSITY OF TEXAS AT AUSTIN,US,XL,FC,VH,A,5,74.6,73.3,71.23,65,50,48
80,UTRECHT UNIVERSITY,NL,L,FC,VH,A,5,74.5,,,66,,
81,UPPSALA UNIVERSITY,SE,L,FC,VH,A,5,74.2,72.5,69.75,67,55,56
82,KATHOLIEKE UNIVERSITEIT LEUVEN,BE,XL,FC,VH,A,5,74.1,73,69.72,68,53,57
83,UNIVERSITÉ DE MONTRÉAL,CA,XL,FC,VH,A,5,73.6,70.2,63.47,69,63,80
84,UNIVERSITY OF ALBERTA,CA,XL,FC,VH,A,5,73.3,69.3,64.22,70,65,75
85,UNIVERSITY OF GENEVA,CH,L,FC,VH,A,5,73.1,73.3,70.61,71,50,51
86,DELFT UNIVERSITY OF TECHNOLOGY,NL,L,CO,VH,A,5,72.9,,,72,,
87,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),KR,S,FO,VH,B,3,72.9,67.5,66.79,72,71,65
88,UNIVERSITY OF ST ANDREWS,UK,M,FC,VH,A,5,72.7,,,73,,
89,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),AU,L,FC,VH,A,5,72.6,71.4,69.97,74,57,54
90,ERASMUS UNIVERSITY ROTTERDAM,NL,L,FO,VH,A,5,72.1,70.2,65.87,75,63,67
91,UNIVERSITY OF GRONINGEN,NL,L,FC,VH,A,5,72.1,69.2,64.18,75,66,76
92,DURHAM UNIVERSITY,UK,L,FC,HI,A,5,72,,,76,,
93,THE UNIVERSITY OF AUCKLAND,NZ,L,FC,VH,A,5,72,69.8,69.29,76,64,58
94,UNIVERSITY OF SOUTHAMPTON,UK,L,FC,VH,A,5,71.9,,,77,,
95,UNIVERSITY OF CALIFORNIA DAVIS (UCD),US,XL,FC,VH,A,5,71.7,71.3,65.85,78,58,68
96,AARHUS UNIVERSITY,DK,L,FC,VH,A,4,71.6,70.3,68.36,79,62,62
97,UNIVERSITY OF LEEDS,UK,L,FC,VH,A,5,71.3,,,80,,
98,QUEEN MARY UNIVERSITY OF LONDON (QMUL),UK,L,FC,VH,A,5,71.2,,,81,,
99,WASHINGTON UNIVERSITY IN ST. LOUIS,US,L,FC,VH,B,5,70.8,71,69.14,82,59,59
100,THE UNIVERSITY OF ADELAIDE,AU,L,FC,VH,A,5,70.5,67.7,65.27,83,69,70
101,UNIVERSITY OF OSLO,NO,L,FC,VH,A,5,70.1,70.6,63.73,84,61,77
102,PURDUE UNIVERSITY,US,XL,FC,VH,A,5,69.5,68.4,66.88,85,67,64
103,NAGOYA UNIVERSITY,JP,L,FC,VH,A,5,69.4,68.4,68.57,86,67,60
104,SHANGHAI JIAO TONG UNIVERSITY,CN,XL,FC,VH,A,5,69.1,63.6,59.88,87,83,90
105,UNIVERSITY OF LAUSANNE,CH,M,CO,VH,A,5,68.9,66.1,62.35,88,74,81
106,YONSEI UNIVERSITY,KR,L,FC,VH,B,5,68.4,65.1,63.54,89,77,78
107,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),US,L,CO,VH,A,5,68.3,68.4,68.38,90,67,61
108,CITY UNIVERSITY OF HONG KONG,HK,M,CO,VH,A,3,68.2,67.7,66.88,91,69,64
109,OHIO STATE UNIVERSITY,US,XL,FC,VH,A,5,68.1,65.8,64.65,92,76,72
110,KTH ROYAL INSTITUTE OF TECHNOLOGY,SE,M,CO,VH,A,5,67.9,,,93,,
111,UNIVERSITY OF PITTSBURGH,US,L,FC,VH,A,5,67.7,67.6,66.13,94,70,66
112,PENNSYLVANIA STATE UNIVERSITY,US,XL,FC,VH,A,5,67.5,67.5,65.7,95,71,69
113,MCMASTER UNIVERSITY,CA,L,FC,VH,A,5,67.4,61,56.1,96,93,107
114,LOMONOSOV MOSCOW STATE UNIVERSITY,RU,XL,FC,VH,A,5,66.9,63.9,61.79,97,80,82
115,UNIVERSITÉ PIERRE ET MARIE CURIE (UPMC),FR,L,CO,VH,A,5,66.2,65.9,59.58,98,75,92
116,KOREA UNIVERSITY,KR,L,FC,VH,B,5,66,60.5,58.36,99,97,98
117,UNIVERSITY OF BASEL,CH,L,FC,VH,A,5,66,66.2,60.54,99,73,87
118,MAASTRICHT UNIVERSITY,NL,L,CO,VH,A,3,65.8,63.8,64.37,100,81,74
119,UNIVERSITY OF MINNESOTA,US,XL,FC,VH,A,5,65.7,67.9,64.86,101,68,71
120,UNIVERSITY OF YORK,UK,L,FC,VH,A,4,65.1,,,102,,
121,UNIVERSITÄT FREIBURG,DE,L,FC,VH,A,5,64.8,67.9,64.44,103,68,73
122,UNIVERSITY OF MARYLAND COLLEGE PARK,US,XL,FC,VH,A,5,64.7,64.7,61.46,104,78,83
123,CARDIFF UNIVERSITY,UK,L,FC,VH,A,5,64.5,,,105,,
124,TECHNICAL UNIVERSITY OF DENMARK,DK,M,FO,VH,A,5,64.5,61.8,59.03,105,90,94
125,UNIVERSITY OF LIVERPOOL,UK,L,FC,VH,A,5,64.5,,,105,,
126,KYUSHU UNIVERSITY,JP,L,FC,VH,A,5,64.4,62,59.59,106,89,91
127,KIT KARLSRUHER INSTITUT FÜR TECHNOLOGIE,DE,L,CO,VH,A,4,64.3,64.7,57.86,107,78,101
128,NEWCASTLE UNIVERSITY,UK,L,FC,VH,A,4,64.3,,,107,,
129,RICE UNIVERSITY,US,M,FC,VH,B,5,64.2,61.7,60.76,108,91,86
130,UNIVERSITY OF GHENT,BE,XL,FC,VH,A,5,64.2,63.7,,108,82,
131,UNIVERSITY OF SOUTHERN CALIFORNIA,US,XL,FC,VH,B,5,64,63.2,58.8,109,84,95
132,UNIVERSIDADE DE SÃO PAULO (USP),BR,XL,FC,VH,A,4,63.9,63,,110,85,
133,UNIVERSITY OF CALIFORNIA SANTA BARBARA (UCSB),US,L,CO,VH,A,5,63.9,62.2,61.34,110,87,84
134,HUMBOLDT-UNIVERSITÄT ZU BERLIN,DE,XL,FC,HI,A,5,63.7,,,111,,
135,HOKKAIDO UNIVERSITY,JP,L,FC,VH,A,5,63.4,60.6,58.3,112,96,99
136,DARTMOUTH COLLEGE,US,M,FC,VH,B,5,63.3,64.1,63.49,113,79,79
137,UNIVERSITY OF ABERDEEN,UK,L,FC,HI,A,5,62.9,,,114,,
138,HEBREW UNIVERSITY OF JERUSALEM,IL,L,FC,VH,A,4,62.7,60.9,58,115,94,100
139,UNIVERSITY COLLEGE DUBLIN (UCD),IE,L,FC,VH,A,5,62.6,61.2,59.05,116,92,93
140,SUNGKYUNKWAN UNIVERSITY,KR,L,FC,VH,B,5,62.2,57.4,51.74,117,109,123
141,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,DE,L,FC,VH,A,5,62,61.8,57.35,118,90,102
142,UNIVERSITY OF CAPE TOWN,ZA,L,FC,VH,A,5,62,60.5,,118,97,
143,UNIVERSITY OF VIRGINIA,US,L,FC,VH,A,5,62,62.1,60.4,118,88,89
144,ZHEJIANG UNIVERSITY,CN,XL,FC,VH,A,5,61.9,57.2,52.77,119,111,119
145,UNIVERSITY OF BERN,CH,L,CO,VH,A,5,61.8,58.4,56.5,120,103,104
146,GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,DE,L,FC,VH,A,5,61.5,62.8,60.89,121,86,85
147,EINDHOVEN UNIVERSITY OF TECHNOLOGY,NL,M,FO,VH,A,4,61.2,58,54.87,122,105,111
148,RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN,DE,XL,FC,VH,A,5,61.2,60.1,56.33,122,98,105
149,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,CN,L,CO,VH,A,4,61.2,55.9,50.99,122,117,127
150,FREIE UNIVERSITÄT BERLIN,DE,XL,FC,HI,A,4,61.1,66.9,,123,72,
151,UNIVERSITI MALAYA (UM),MY,L,FC,VH,A,5,61,56.9,,124,113,
152,WAGENINGEN UNIVERSITY,NL,M,FO,VH,A,4,61,59.4,54.58,124,100,114
153,UNIVERSITY OF CALIFORNIA IRVINE (UCI),US,L,FC,VH,A,3,60.8,59.6,55.65,125,99,109
154,UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL),BE,L,FC,VH,B,5,60.7,,,126,,
155,UNIVERSITY OF BERGEN,NO,M,FC,VH,A,4,60.3,59.2,,127,101,
156,EMORY UNIVERSITY,US,L,FC,VH,B,5,60,60.9,60.44,128,94,88
157,RADBOUD UNIVERSITY NIJMEGEN,NL,L,FC,VH,A,4,60,60.8,58.52,128,95,97
158,UNIVERSITÄT WIEN,AT,XL,FC,HI,A,5,60,,54.6,128,,113
159,UNIVERSITY OF OTAGO,NZ,L,FC,VH,A,5,59.9,58.2,,129,104,
160,LANCASTER UNIVERSITY,UK,M,FC,VH,A,4,59.7,,,130,,
161,UNIVERSITY OF EXETER,UK,L,FC,HI,A,4,59.6,,,131,,
162,NANJING UNIVERSITY,CN,XL,FC,VH,A,5,59.3,,,132,,
163,THE HONG KONG POLYTECHNIC UNIVERSITY,HK,L,CO,VH,A,2,59.3,57.5,54.62,132,108,112
164,UNIVERSITY OF ROCHESTER,US,M,FC,VH,B,5,59,59.2,58.71,133,101,96
165,TEXAS A&M UNIVERSITY,US,XL,FC,VH,A,5,58.8,58.7,53.71,134,102,116
166,UNIVERSITAT DE BARCELONA (UB),ES,XL,FC,VH,A,5,58.7,55.4,50.88,135,120,128
167,NATIONAL TSING HUA UNIVERSITY,TW,M,CO,VH,A,4,58.3,52.4,50.15,136,132,131
168,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,CL,L,FC,HI,B,5,58.3,57,49.65,136,112,134
169,UNIVERSITY OF WATERLOO,CA,XL,CO,VH,A,4,57.8,54.9,,137,122,
170,QUEEN'S UNIVERSITY OF BELFAST,UK,L,FC,VH,A,5,57.7,,,138,,
171,UNIVERSITY OF CALGARY,CA,L,FC,VH,A,3,57.6,52.2,47.8,139,133,147
172,VRIJE UNIVERSITEIT AMSTERDAM,NL,L,FC,VH,A,5,57.6,54.8,51.84,139,123,122
173,UNIVERSITAT AUTÓNOMA DE BARCELONA,ES,XL,FC,VH,A,3,57.5,55.6,,140,119,
174,UNIVERSITÉ LIBRE DE BRUXELLES (ULB),BE,L,FC,VH,A,5,57.5,,,140,,
175,CHALMERS UNIVERSITY OF TECHNOLOGY,SE,M,CO,VH,B,5,56.9,52.1,46.65,141,134,151
176,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),MX,XL,FC,VH,A,5,56.9,57.3,56.77,141,110,103
177,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN,DE,L,FC,VH,A,5,56.8,57.3,56.32,142,110,106
178,UNIVERSIDAD AUTÓNOMA DE MADRID,ES,L,FC,VH,A,3,56.5,52.7,48.79,143,130,140
179,ECOLE NORMALE SUPÉRIEURE DE LYON,FR,S,CO,VH,A,5,56.3,57.7,56.09,144,106,108
180,UNIVERSITY OF BATH,UK,L,CO,VH,A,3,56.3,,,144,,
181,VRIJE UNIVERSITEIT BRUSSEL (VUB),BE,M,FC,VH,A,5,56.2,56.1,50.47,145,116,129
182,STOCKHOLM UNIVERSITY,SE,XL,CO,VH,A,5,55.8,56.4,,146,114,
183,UNIVERSITÀ DI BOLOGNA (UNIBO),IT,XL,FC,VH,A,5,55.8,53.8,49.77,146,127,133
184,UNIVERSITY OF COLORADO AT BOULDER,US,L,CO,VH,A,5,55.8,57.6,55.49,146,107,110
185,VANDERBILT UNIVERSITY,US,L,FC,VH,B,5,55.8,54.8,53.48,146,123,117
186,UNIVERSITY OF ILLINOIS CHICAGO (UIC),US,L,FC,VH,A,5,55.7,53.5,51.55,147,129,124
187,AALTO UNIVERSITY,FI,L,FO,VH,A,5,55.5,,,148,,
188,QUEEN'S UNIVERSITY,CA,L,FC,VH,A,5,55.5,53.7,52.08,148,128,121
189,CASE WESTERN RESERVE UNIVERSITY,US,M,FC,VH,B,5,55.4,55.7,53.82,149,118,115
190,TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,IL,L,FC,VH,A,4,55.3,54.6,47.03,150,124,150
191,WESTERN UNIVERSITY,CA,L,FC,VH,A,5,55.2,52.4,,151,132,
192,TECHNISCHE UNIVERSITÄT BERLIN,DE,L,CO,VH,A,5,54.9,54.6,48.42,152,124,141
193,UNIVERSITÄT HAMBURG,DE,XL,FC,VH,A,4,54.9,54.1,48.89,152,126,139
194,UNIVERSITY OF FLORIDA,US,XL,FC,VH,B,5,54.9,55,52.92,152,121,118
195,MICHIGAN STATE UNIVERSITY,US,XL,FC,VH,A,5,54.6,56.2,52.3,153,115,120
196,TEL AVIV UNIVERSITY,IL,L,FC,VH,A,4,54.6,52.6,48.21,153,131,143
197,KEIO UNIVERSITY,JP,XL,FC,VH,B,5,54.4,,,154,,
198,UNIVERSIDAD DE BUENOS AIRES,AR,XL,FC,VH,A,5,54.3,,,155,,
199,UNIVERSITY OF TSUKUBA,JP,L,FC,VH,A,3,54.3,50.6,48.98,155,138,138
200,GEORGETOWN UNIVERSITY,US,L,FC,HI,B,5,53.9,53.7,51.15,156,128,126
201,UNIVERSITY OF SUSSEX,UK,L,FC,HI,A,4,53.9,,,156,,
202,NATIONAL CHIAO TUNG UNIVERSITY,TW,M,CO,VH,A,5,53.8,47.5,43.8,157,151,163
